DIRECCION_SECCIONAL,TIPO_MPUESTO,VALOR
PEREIRA,RENTA CUOTAS, 145.326 
PEREIRA,IVA DECLARACIONES, 352.060 
PEREIRA,RETENCIONES, 421.699 
PEREIRA,EXTERNOS, 96.627 
PEREIRA,SEGURIDAD DEMOCRATICA, 0  
ADUANAS BOGOTA,PATRIMONIO, 0  
BUENAVENTURA,RIQUEZA, 274 
PEREIRA,PRECIOS DE TRANSFERENCIA, 83 
PEREIRA,GMF, 253 
PEREIRA,CONSUMO, 58.655 
PEREIRA,GASOLINA Y ACPM, 0  
PEREIRA,CREE RETENCIONES, 47 
PEREIRA,CREE DECLARACIONES, 1.233 
PEREIRA,AL CARBONO, 0  
PEREIRA,POR CLASIFICAR, 1.862 
POPAYAN,RENTA CUOTAS, 119.707 
POPAYAN,IVA DECLARACIONES, 342.812 
POPAYAN,RETENCIONES, 327.155 
POPAYAN,EXTERNOS, 2 
POPAYAN,SEGURIDAD DEMOCRATICA, 0  
ADUANAS CALI,PATRIMONIO, 0  
ARAUCA,RIQUEZA, 134 
POPAYAN,PRECIOS DE TRANSFERENCIA, 52 
POPAYAN,GMF, 5.816 
POPAYAN,CONSUMO, 6.829 
POPAYAN,GASOLINA Y ACPM, 0  
POPAYAN,CREE RETENCIONES, 3 
POPAYAN,CREE DECLARACIONES, 188 
POPAYAN,AL CARBONO, 0  
POPAYAN,POR CLASIFICAR, 449 
PUERTO ASIS,RENTA CUOTAS, 8.797 
PUERTO ASIS,IVA DECLARACIONES, 19.937 
PUERTO ASIS,RETENCIONES, 26.604 
PUERTO ASIS,EXTERNOS, 14.690 
PUERTO ASIS,SEGURIDAD DEMOCRATICA, 0  
ADUANAS DE CARTAGENA,PATRIMONIO, 0  
LETICIA,RIQUEZA, 127 
PUERTO ASIS,PRECIOS DE TRANSFERENCIA, 0  
PUERTO ASIS,GMF, 139 
PUERTO ASIS,CONSUMO, 408 
PUERTO ASIS,GASOLINA Y ACPM, 0  
PUERTO ASIS,CREE RETENCIONES, 18 
PUERTO ASIS,CREE DECLARACIONES, 460 
PUERTO ASIS,AL CARBONO, 0  
PUERTO ASIS,POR CLASIFICAR, 22 
PUERTO CARREÑO,RENTA CUOTAS, 726 
PUERTO CARREÑO,IVA DECLARACIONES, 971 
PUERTO CARREÑO,RETENCIONES, 6.466 
PUERTO CARREÑO,EXTERNOS, 0  
PUERTO CARREÑO,SEGURIDAD DEMOCRATICA, 0  
ADUANAS DE CUCUTA,PATRIMONIO, 0  
SAN JOSE DEL GUAVIARE,RIQUEZA, 96 
PUERTO CARREÑO,PRECIOS DE TRANSFERENCIA, 0  
