FECHA;INCIDENTE;CANT_INCIDENTES
Jan 1 2017;INCIDENTE RESCATE ACUÁTICO;20
Jan 1 2017;ELECTROCUCIÓN / RESCATE;27
Jan 1 2017;INCENDIO CON MATPEL;30
Jan 1 2017;AMENAZA DE RUINA;40
Jan 1 2017;SANGRADO VAGINAL;47
Jan 1 2017;QUEMADURAS;53
Jan 1 2017;FUGA DE PRESOS;82
Jan 1 2017;EXPLOSIÓN;88
Jan 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;102
Jan 1 2017;VEHÍCULO RECUPERADO;102
Jan 1 2017;HALLAZGO DE EXPLOSIVOS;134
Jan 1 2018;ACCIÓN SUBVERSIVA;1
Jan 1 2018;DESARME;1
Jan 1 2018;ABORTO;2
Jan 1 2018;RESCATES MONTAÑA;5
Jan 1 2018;RESTOS HUMANOS;8
Jan 1 2018;INCIDENTE RESCATE ACUÁTICO;9
Jan 1 2018;INCENDIO CON MATPEL;11
Jan 1 2018;ELECTROCUCIÓN / RESCATE;19
Jan 1 2018;QUEMADURAS;35
Jan 1 2018;DESLIZAMIENTO;37
Jan 1 2018;EXPLOSIÓN;52
Jan 1 2018;SANGRADO VAGINAL;57
Jan 1 2018;AMENAZA DE RUINA;67
Jan 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;74
Jan 1 2018;FUGA DE PRESOS;103
Jan 1 2018;VEHÍCULO RECUPERADO;116
Jan 1 2018;HALLAZGO DE EXPLOSIVOS;156
Jan 1 2019;DESARME;1
Jan 1 2019;DESLIZAMIENTO;1
Jan 1 2019;ACCIÓN SUBVERSIVA;2
Jan 1 2019;SISMO;4
Jan 1 2019;RESCATES MONTAÑA;5
Jan 1 2019;INCIDENTE RESCATE ACUÁTICO;15
Jan 1 2019;RESTOS HUMANOS;19
Jan 1 2019;INCENDIO CON MATPEL;24
Jan 1 2019;ELECTROCUCIÓN / RESCATE;27
Jan 1 2019;QUEMADURAS;35
Jan 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;60
Jan 1 2019;FUGA DE PRESOS;62
Jan 1 2019;SANGRADO VAGINAL;64
Jan 1 2019;AMENAZA DE RUINA;66
Jan 1 2019;VEHÍCULO RECUPERADO;102
Jan 1 2019;EXPLOSIÓN;138
Jan 1 2019;HALLAZGO DE EXPLOSIVOS;197
Jul 1 2014;PREVENCIÓN;1
Jul 1 2014;RESCATES MONTAÑA;2
Jul 1 2014;ABORTO;7
Jul 1 2014;RESTOS HUMANOS;10
Jul 1 2014;ACCIÓN SUBVERSIVA;12
Jul 1 2014;INCIDENTE RESCATE ACUÁTICO;13
Jul 1 2014;ELECTROCUCIÓN / RESCATE;27
Jul 1 2014;DESLIZAMIENTO;36
Jul 1 2014;INCENDIO CON MATPEL;46
Jul 1 2014;AMENAZA DE RUINA;54
Jul 1 2014;QUEMADURAS;72
Jul 1 2014;FUGA DE PRESOS;87
Jul 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;93
Jul 1 2014;VEHÍCULO RECUPERADO;100
Jul 1 2014;HALLAZGO DE EXPLOSIVOS;161
Jul 1 2014;EXPLOSIÓN;197
Jul 1 2015;SISMO;1
Jul 1 2015;DESARME;2
Jul 1 2015;PREVENCIÓN;3
Jul 1 2015;ACCIÓN SUBVERSIVA;4
Jul 1 2015;SANGRADO VAGINAL;4
Jul 1 2015;RESCATES MONTAÑA;7
Jul 1 2015;RESTOS HUMANOS;10
Jul 1 2015;DESLIZAMIENTO;14
Jul 1 2015;INCIDENTE RESCATE ACUÁTICO;20
Jul 1 2015;ABORTO;32
Jul 1 2015;ELECTROCUCIÓN / RESCATE;38
Jul 1 2015;AMENAZA DE RUINA;40
Jul 1 2015;INCENDIO CON MATPEL;54
Jul 1 2015;FUGA DE PRESOS;90
Jul 1 2015;QUEMADURAS;93
Jul 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;95
Jul 1 2015;VEHÍCULO RECUPERADO;105
Jul 1 2015;EXPLOSIÓN;189
Jul 1 2015;HALLAZGO DE EXPLOSIVOS;434
Jul 1 2016;DESARME;1
Jul 1 2016;PREVENCIÓN;1
Jul 1 2016;ABORTO;2
Jul 1 2016;ACCIÓN SUBVERSIVA;2
Jul 1 2016;SISMO;3
Jul 1 2016;RESTOS HUMANOS;15
Jul 1 2016;ELECTROCUCIÓN / RESCATE;23
