FECHA,LOCALIDAD,CANT_INCIDENTES
Jan 1 2014,USAQUEN,13791
Jan 1 2014,USME,8201
Jan 1 2015,ANTONIO NARINO,4186
Jan 1 2015,BARRIOS UNIDOS,7273
Jan 1 2015,BOSA,14570
Jan 1 2015,CANDELARIA,1705
Jan 1 2015,CHAPINERO,9823
Jan 1 2015,CIUDAD BOLIVAR,15241
Jan 1 2015,ENGATIVA,24382
Jan 1 2015,FONTIBON,10945
Jan 1 2015,KENNEDY,27549
Jan 1 2015,LOS MARTIRES,6137
Jan 1 2015,PUENTE ARANDA,10425
Jan 1 2015,RAFAEL URIBE URIBE,12693
Jan 1 2015,SAN CRISTOBAL,13530
Jan 1 2015,SANTA FE,7647
Jan 1 2015,SIN LOCALIZACION,991
Jan 1 2015,SUBA,27240
Jan 1 2015,TEUSAQUILLO,7501
Jan 1 2015,TUNJUELITO,6410
Jan 1 2015,USAQUEN,15453
Jan 1 2015,USME,9126
Jan 1 2016,ANTONIO NARINO,5047
Jan 1 2016,BARRIOS UNIDOS,8470
Jan 1 2016,BOSA,16863
Jan 1 2016,CANDELARIA,1946
Jan 1 2016,CHAPINERO,10733
Jan 1 2016,CIUDAD BOLIVAR,18462
Jan 1 2016,ENGATIVA,27212
Jan 1 2016,FONTIBON,13478
Jan 1 2016,KENNEDY,33396
Jan 1 2016,LOS MARTIRES,6518
Jan 1 2016,PUENTE ARANDA,10993
Jan 1 2016,RAFAEL URIBE URIBE,14294
Jan 1 2016,SAN CRISTOBAL,15109
Jan 1 2016,SANTA FE,8634
Jan 1 2016,SIN LOCALIZACION,950
Jan 1 2016,SUBA,32912
Jan 1 2016,TEUSAQUILLO,9132
Jan 1 2016,TUNJUELITO,7596
Jan 1 2016,USAQUEN,18936
Jan 1 2016,USME,10408
Jan 1 2017,ANTONIO NARINO,4680
Jan 1 2017,BARRIOS UNIDOS,7497
Jan 1 2017,BOSA,15849
Jan 1 2017,CANDELARIA,1515
Jan 1 2017,CHAPINERO,9982
Jan 1 2017,CIUDAD BOLIVAR,16786
Jan 1 2017,ENGATIVA,24173
Jan 1 2017,FONTIBON,10475
Jan 1 2017,KENNEDY,29689
